SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,13.54207406371423,Abs,0.8,6,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,13.54207406371423,Abs,0.8,6,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,378.0,Abs,0.8,6,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,378.0,Abs,0.8,6,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,11.612840169464995,Raw,0.8,7,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.612840169464995,Raw,0.8,7,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,234.0,Raw,0.8,7,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,234.0,Raw,0.8,7,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,11.612840169464995,Abs,0.8,7,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.612840169464995,Abs,0.8,7,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,234.0,Abs,0.8,7,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,234.0,Abs,0.8,7,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,11.120117266246265,Raw,0.8,8,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.120117266246265,Raw,0.8,8,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,235.0,Raw,0.8,8,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,235.0,Raw,0.8,8,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,11.120117266246265,Abs,0.8,8,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.120117266246265,Abs,0.8,8,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,235.0,Abs,0.8,8,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,235.0,Abs,0.8,8,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.62279160758234,Raw,0.8,9,IIT_stim_on
