SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,11.507203655239003,Raw,0.7,0,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.507203655239003,Raw,0.7,0,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,916.0,Raw,0.7,0,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,916.0,Raw,0.7,0,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,11.507203655239003,Abs,0.7,0,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.507203655239003,Abs,0.7,0,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,916.0,Abs,0.7,0,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,916.0,Abs,0.7,0,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,12.406165798025588,Raw,0.7,1,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,12.406165798025588,Raw,0.7,1,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,388.0,Raw,0.7,1,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,388.0,Raw,0.7,1,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,12.406165798025588,Abs,0.7,1,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,12.406165798025588,Abs,0.7,1,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,388.0,Abs,0.7,1,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,388.0,Abs,0.7,1,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,14.769855149057415,Raw,0.7,2,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,14.769855149057415,Raw,0.7,2,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,161.0,Raw,0.7,2,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,161.0,Raw,0.7,2,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,14.769855149057415,Abs,0.7,2,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,14.769855149057415,Abs,0.7,2,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,161.0,Abs,0.7,2,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,161.0,Abs,0.7,2,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,13.136425543670713,Raw,0.7,3,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,13.136425543670713,Raw,0.7,3,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,264.0,Raw,0.7,3,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,264.0,Raw,0.7,3,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,13.136425543670713,Abs,0.7,3,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,13.136425543670713,Abs,0.7,3,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,264.0,Abs,0.7,3,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,264.0,Abs,0.7,3,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,12.397420431316752,Raw,0.7,4,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,12.397420431316752,Raw,0.7,4,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,153.0,Raw,0.7,4,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,153.0,Raw,0.7,4,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,12.397420431316752,Abs,0.7,4,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,12.397420431316752,Abs,0.7,4,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,153.0,Abs,0.7,4,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,153.0,Abs,0.7,4,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,15.543144018835495,Raw,0.7,5,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,15.543144018835495,Raw,0.7,5,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,282.0,Raw,0.7,5,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,282.0,Raw,0.7,5,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,15.543144018835495,Abs,0.7,5,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,15.543144018835495,Abs,0.7,5,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,282.0,Abs,0.7,5,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,282.0,Abs,0.7,5,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,18.026689689682783,Raw,0.7,6,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,18.026689689682783,Raw,0.7,6,IIT_stim_on
