SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,6.05114390614606,Raw,0.9,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.05114390614606,Raw,0.9,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,166.0,Raw,0.9,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,166.0,Raw,0.9,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,6.05114390614606,Abs,0.9,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.05114390614606,Abs,0.9,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,166.0,Abs,0.9,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,166.0,Abs,0.9,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.13044142418835,Raw,0.9,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.13044142418835,Raw,0.9,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,29.0,Raw,0.9,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,29.0,Raw,0.9,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.13044142418835,Abs,0.9,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.13044142418835,Abs,0.9,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,29.0,Abs,0.9,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,29.0,Abs,0.9,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,4.844905213748937,Raw,0.9,2,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,4.844905213748937,Raw,0.9,2,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,4.0,Raw,0.9,2,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,4.0,Raw,0.9,2,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,4.844905213748937,Abs,0.9,2,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,4.844905213748937,Abs,0.9,2,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,4.0,Abs,0.9,2,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,4.0,Abs,0.9,2,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,6.581444767612117,Raw,0.9,3,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.581444767612117,Raw,0.9,3,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,340.0,Raw,0.9,3,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,340.0,Raw,0.9,3,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,6.581444767612117,Abs,0.9,3,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.581444767612117,Abs,0.9,3,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,340.0,Abs,0.9,3,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,340.0,Abs,0.9,3,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.434235125300585,Raw,0.9,4,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.434235125300585,Raw,0.9,4,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,498.0,Raw,0.9,4,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,498.0,Raw,0.9,4,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.434235125300585,Abs,0.9,4,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.434235125300585,Abs,0.9,4,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,498.0,Abs,0.9,4,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,498.0,Abs,0.9,4,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.105751325901495,Raw,0.9,5,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.105751325901495,Raw,0.9,5,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,266.0,Raw,0.9,5,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,266.0,Raw,0.9,5,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.105751325901495,Abs,0.9,5,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.105751325901495,Abs,0.9,5,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,266.0,Abs,0.9,5,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,266.0,Abs,0.9,5,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,5.0421118347593215,Raw,0.9,6,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,5.0421118347593215,Raw,0.9,6,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,261.0,Raw,0.9,6,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,261.0,Raw,0.9,6,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,5.0421118347593215,Abs,0.9,6,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,5.0421118347593215,Abs,0.9,6,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,261.0,Abs,0.9,6,IIT_stim_off
