Max_Time,Model,Stim,Max_Value,Noise
165,IIT,On,10.626506712593384,0.5
99,IIT,On,9.016961280245022,0.5
209,IIT,On,9.695622607021718,0.5
151,IIT,On,8.87351593836406,0.5
217,IIT,On,11.048325620724958,0.5
168,IIT,On,9.455530123067364,0.5
213,IIT,On,9.444795970064561,0.5
206,IIT,On,9.980747885794697,0.5
163,IIT,On,13.111182358833128,0.5
149,IIT,On,10.368122623449093,0.5
240,IIT,On,9.385986751996832,0.5
365,IIT,On,10.236476166344952,0.5
211,IIT,On,10.931455487416857,0.5
209,IIT,On,8.270121722081125,0.5
163,IIT,On,9.489434739148946,0.5
207,IIT,On,10.860521972179823,0.5
107,IIT,On,9.412293959248027,0.5
201,IIT,On,11.396682583157354,0.5
128,IIT,On,9.552661969486074,0.5
153,IIT,On,11.026033574633287,0.5
189,IIT,On,10.16252632995363,0.5
242,IIT,On,9.157073125477721,0.5
248,IIT,On,9.435185248202753,0.5
153,IIT,On,9.954105479782596,0.5
140,IIT,On,9.568128573501122,0.5
174,IIT,On,10.880911132916841,0.5
217,IIT,On,9.059989213373925,0.5
143,IIT,On,9.530235290718938,0.5
189,IIT,On,10.828719860372793,0.5
167,IIT,On,11.208728478950272,0.5
174,IIT,On,10.322353255931866,0.5
172,IIT,On,10.141770979541803,0.5
292,IIT,On,8.81766823541681,0.5
222,IIT,On,9.817396957249242,0.5
160,IIT,On,9.025909460273589,0.5
192,IIT,On,10.813768461671208,0.5
141,IIT,On,8.641592061417818,0.5
176,IIT,On,11.190848362767571,0.5
208,IIT,On,8.595355702705772,0.5
129,IIT,On,10.19425470625103,0.5
277,IIT,On,10.502088550375147,0.5
178,IIT,On,11.828353384885766,0.5
142,IIT,On,11.700893656065928,0.5
248,IIT,On,11.085897639444834,0.5
268,IIT,On,10.311240208289188,0.5
190,IIT,On,10.701819396978392,0.5
225,IIT,On,9.546394487337388,0.5
179,IIT,On,10.489760004121795,0.5
236,IIT,On,7.714001640591305,0.5
173,IIT,On,11.809475209854076,0.5
144,IIT,On,9.791061171399946,0.5
194,IIT,On,10.07399224371201,0.5
188,IIT,On,12.099050750229265,0.5
172,IIT,On,10.275965714589278,0.5
138,IIT,On,9.109438748343004,0.5
161,IIT,On,12.02523411972917,0.5
253,IIT,On,8.77179625355524,0.5
169,IIT,On,12.391532836551079,0.5
262,IIT,On,9.538299320956094,0.5
276,IIT,On,9.919919652559363,0.5
345,IIT,On,8.864734292137392,0.5
151,IIT,On,9.81076552897327,0.5
148,IIT,On,9.89513800053748,0.5
211,IIT,On,10.056898369793563,0.5
181,IIT,On,8.673290374661319,0.5
269,IIT,On,9.77671994648997,0.5
219,IIT,On,8.982728464325255,0.5
141,IIT,On,10.20833995310392,0.5
174,IIT,On,9.710971607035312,0.5
128,IIT,On,10.369531583663104,0.5
121,IIT,On,10.08502552146877,0.5
137,IIT,On,10.349316129087343,0.5
184,IIT,On,10.104450795739696,0.5
214,IIT,On,10.19053269395486,0.5
175,IIT,On,9.203619540195005,0.5
167,IIT,On,10.036931996069088,0.5
219,IIT,On,10.60819060255884,0.5
208,IIT,On,10.445520292823787,0.5
128,IIT,On,9.200254266029821,0.5
166,IIT,On,8.125037383188785,0.5
133,IIT,On,9.184739299736115,0.5
