SPI,meta_ROI_from,meta_ROI_to,stimulus_presentation,comparison,accuracy
cov_EmpiricalCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5337500000000001
cov_GraphicalLasso,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.533611111111111
cov_GraphicalLassoCV,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5215277777777778
cov_LedoitWolf,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5363888888888889
cov_OAS,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5377777777777778
cov_ShrunkCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5337500000000001
cov-sq_EmpiricalCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5038888888888888
cov-sq_GraphicalLasso,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5065277777777777
cov-sq_LedoitWolf,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5040277777777777
cov-sq_OAS,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5054166666666667
cov-sq_ShrunkCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5038888888888888
prec_EmpiricalCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5495833333333333
prec_GraphicalLasso,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5434722222222221
prec_LedoitWolf,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.547638888888889
prec_OAS,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.54625
prec_ShrunkCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5423611111111111
prec-sq_EmpiricalCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4916666666666666
prec-sq_GraphicalLasso,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4904166666666666
prec-sq_LedoitWolf,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48902777777777773
prec-sq_OAS,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48902777777777773
prec-sq_ShrunkCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49444444444444446
spearmanr-sq,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5159722222222223
spearmanr,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5194444444444445
kendalltau-sq,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5158333333333334
kendalltau,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5233333333333333
xcorr_max_sig-True,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5050000000000001
xcorr-sq_max_sig-True,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5280555555555555
xcorr_mean_sig-True,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5186111111111111
xcorr-sq_mean_sig-True,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5208333333333333
xcorr_mean_sig-False,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5041666666666667
xcorr-sq_mean_sig-False,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5059722222222222
pdist_euclidean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5386111111111112
pdist_cityblock,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5419444444444443
pdist_cosine,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5379166666666666
pdist_chebyshev,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4961111111111111
pdist_canberra,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5145833333333334
pdist_braycurtis,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5315277777777778
dcorr,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5133333333333333
dcorr_biased,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5154166666666666
hsic,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5365277777777777
hsic_biased,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5263888888888888
bary_euclidean_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5066666666666666
bary-sq_euclidean_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5354166666666667
bary-sq_euclidean_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48472222222222217
gwtau,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48694444444444446
anm,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48888888888888893
cds,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
reci,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4875
igci,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49402777777777784
je_gaussian,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4954166666666667
je_kozachenko,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.495
je_kernel_W-0.5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5184722222222222
ce_gaussian,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5083333333333334
ce_kernel_W-0.5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5251388888888888
xme_gaussian_k1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48999999999999994
xme_kozachenko_k1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4730555555555556
xme_kernel_W-0.5_k1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49722222222222223
xme_gaussian_k10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4970833333333333
xme_kozachenko_k10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
xme_kernel_W-0.5_k10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
si_gaussian_k-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
si_kozachenko_k-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
si_kernel_W-0.5_k-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5155555555555555
mi_gaussian,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5104166666666666
mi_kraskov_NN-4,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4805555555555555
mi_kraskov_NN-4_DCE,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
mi_kernel_W-0.25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5116666666666667
tlmi_gaussian,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49861111111111106
tlmi_kraskov_NN-4,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4963888888888889
tlmi_kraskov_NN-4_DCE,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49874999999999997
tlmi_kernel_W-0.25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48305555555555546
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49722222222222223
gc_gaussian_k-1_kt-1_l-1_lt-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5072222222222222
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49736111111111103
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49874999999999997
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5030555555555555
phase_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5156944444444445
phase_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5276388888888889
phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49111111111111116
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4958333333333333
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4905555555555556
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49847222222222226
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4959722222222222
cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48125
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49124999999999996
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4987500000000001
icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48319444444444437
icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4972222222222221
icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48611111111111105
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4805555555555555
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5001388888888888
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49847222222222215
plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49736111111111114
plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5027777777777779
plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49861111111111106
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4947222222222222
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5513888888888888
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4923611111111111
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4920833333333333
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49722222222222223
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49083333333333334
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49777777777777776
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4833333333333333
dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48263888888888895
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4923611111111111
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4886111111111111
dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48277777777777786
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4933333333333333
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49736111111111103
ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4959722222222222
ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49722222222222223
ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5472222222222222
ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4958333333333333
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4969444444444443
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5018055555555555
dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4822222222222222
dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4958333333333333
dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49861111111111106
dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49722222222222223
dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49111111111111105
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4998611111111112
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4998611111111112
dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4969444444444443
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5018055555555555
pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4822222222222222
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4958333333333333
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49861111111111106
pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49833333333333335
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5073611111111112
gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4852777777777778
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5158333333333334
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5011111111111111
gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4931944444444444
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5040277777777777
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5038888888888888
ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5026388888888889
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5158333333333334
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5194444444444445
sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49874999999999997
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4923611111111111
sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-None,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.47930555555555554
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5098611111111111
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5047222222222222
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4997222222222222
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5038888888888888
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48263888888888895
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5116666666666666
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4916666666666666
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-None,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49027777777777776
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49444444444444446
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49527777777777776
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49319444444444444
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49319444444444444
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5037499999999999
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4913888888888889
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5016666666666666
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48638888888888887
psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4793055555555556
psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.47527777777777774
psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49027777777777776
psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49749999999999994
psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49638888888888894
psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49527777777777776
lmfit_Ridge,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4851388888888889
lmfit_Lasso,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49097222222222225
lmfit_SGDRegressor,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4851388888888889
lmfit_ElasticNet,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49083333333333334
lmfit_BayesianRidge,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4851388888888889
coint_johansen_max_eig_stat_order-0_ardiff-10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48569444444444454
coint_johansen_trace_stat_order-0_ardiff-10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49430555555555544
coint_johansen_max_eig_stat_order-0_ardiff-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.53125
coint_johansen_trace_stat_order-0_ardiff-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5204166666666667
coint_johansen_max_eig_stat_order-1_ardiff-10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48569444444444454
coint_johansen_trace_stat_order-1_ardiff-10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49430555555555544
coint_johansen_max_eig_stat_order-1_ardiff-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.53125
coint_johansen_trace_stat_order-1_ardiff-1,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5204166666666667
coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5211111111111111
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5211111111111111
coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4805555555555556
pec,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4934722222222222
pec_orth,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4875
pec_log,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4833333333333333
pec_orth_log,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4805555555555555
pec_orth_abs,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49444444444444446
pec_orth_log_abs,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5158333333333334
cov_EllipticEnvelope,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5480555555555555
cov-sq_MinCovDet,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5002777777777778
cov-sq_EllipticEnvelope,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.495
cov-sq_GraphicalLassoCV,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4811111111111111
cov_MinCovDet,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5440277777777778
prec_EllipticEnvelope,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5284722222222223
prec_GraphicalLassoCV,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5311111111111111
prec-sq_MinCovDet,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4752777777777778
prec-sq_EllipticEnvelope,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4738888888888889
prec-sq_GraphicalLassoCV,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4638888888888889
prec_MinCovDet,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5233333333333332
mgc,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5190277777777779
dtw,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.54625
dtw_constraint-itakura,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5298611111111111
dtw_constraint-sakoe-chiba,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5376388888888889
softdtw,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5370833333333334
softdtw_constraint-itakura,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5370833333333334
softdtw_constraint-sakoe-chiba,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5370833333333334
bary_dtw_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48875
bary_dtw_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49458333333333326
bary_sgddtw_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5181944444444444
bary_sgddtw_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5215277777777778
bary_softdtw_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.50125
bary_softdtw_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5025000000000001
bary-sq_dtw_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5005555555555554
bary-sq_dtw_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
bary-sq_sgddtw_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5272222222222223
bary-sq_sgddtw_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4987499999999999
bary-sq_softdtw_mean,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5051388888888889
bary-sq_softdtw_max,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
ce_kozachenko,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48166666666666663
cce_gaussian,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
cce_kozachenko,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5
