Presentation,Barycenter_Type,Mean,Max,Max_Time,Subject,Region,Relevance,Stimulus,Barycenter_Method
Onset,Original,9.937660640001401e-17,2.7243811439206604,490,sub-CA103,CS_PFC,Irrelevant,False,euclidean
Offset,Original,-1.0658141036401503e-17,2.078581226430198,619,sub-CA103,CS_PFC,Irrelevant,False,euclidean
Onset,Squared,0.5982539153151308,7.422252617350447,490,sub-CA103,CS_PFC,Irrelevant,False,euclidean
Offset,Squared,0.40675503126303886,4.320499914868066,619,sub-CA103,CS_PFC,Irrelevant,False,euclidean
Onset,Original,-2.129498708571729e-16,3.4271359758890547,490,sub-CA103,CS_PFC_abs,Irrelevant,False,euclidean
Offset,Original,2.1316282072803006e-17,3.2866914387162343,80,sub-CA103,CS_PFC_abs,Irrelevant,False,euclidean
Onset,Squared,0.4910854005408075,11.745260997233023,490,sub-CA103,CS_PFC_abs,Irrelevant,False,euclidean
Offset,Squared,0.4707159699460159,10.802340613330589,80,sub-CA103,CS_PFC_abs,Irrelevant,False,euclidean
Onset,Original,-2.0585154182860046e-16,1.9812484769459746,471,sub-CA103,CS_VIS,Irrelevant,False,euclidean
Offset,Original,1.1191048088221578e-16,1.7301097362759372,267,sub-CA103,CS_VIS,Irrelevant,False,euclidean
Onset,Squared,0.4894906917198332,3.925345527400744,471,sub-CA103,CS_VIS,Irrelevant,False,euclidean
Offset,Squared,0.2882576199570119,3.5448943642024195,80,sub-CA103,CS_VIS,Irrelevant,False,euclidean
Onset,Original,-3.2652313531433174e-16,2.275868566910839,471,sub-CA103,CS_VIS_abs,Irrelevant,False,euclidean
Offset,Original,1.7408297026122455e-16,4.627399843301767,147,sub-CA103,CS_VIS_abs,Irrelevant,False,euclidean
Onset,Squared,0.5124038249583529,5.179577733852796,471,sub-CA103,CS_VIS_abs,Irrelevant,False,euclidean
Offset,Squared,0.5701731494823329,21.412829309789213,147,sub-CA103,CS_VIS_abs,Irrelevant,False,euclidean
Onset,Original,-0.0018374722368142012,2.6401640889769262,490,sub-CA103,CS_PFC,Irrelevant,False,dtw
Offset,Original,0.0006635055114056953,2.5887673968301077,619,sub-CA103,CS_PFC,Irrelevant,False,dtw
Onset,Squared,0.6600268512255814,6.9704664167233625,490,sub-CA103,CS_PFC,Irrelevant,False,dtw
Offset,Squared,0.5139464609248146,6.701716634890532,619,sub-CA103,CS_PFC,Irrelevant,False,dtw
Onset,Original,0.023110714672580423,3.329486389628626,490,sub-CA103,CS_PFC_abs,Irrelevant,False,dtw
Offset,Original,0.025971063356439957,3.4089043549499145,991,sub-CA103,CS_PFC_abs,Irrelevant,False,dtw
Onset,Squared,0.6095124339717538,11.085479618722262,490,sub-CA103,CS_PFC_abs,Irrelevant,False,dtw
Offset,Squared,0.6446127287980655,11.620628901196493,991,sub-CA103,CS_PFC_abs,Irrelevant,False,dtw
Onset,Original,-0.0060842054523819935,2.5079796735873616,453,sub-CA103,CS_VIS,Irrelevant,False,dtw
Offset,Original,-0.0031061017979920197,2.8032128895566304,156,sub-CA103,CS_VIS,Irrelevant,False,dtw
Onset,Squared,0.5881666527137087,6.289962043127369,453,sub-CA103,CS_VIS,Irrelevant,False,dtw
Offset,Squared,0.41630930377262426,7.858002504176433,156,sub-CA103,CS_VIS,Irrelevant,False,dtw
Onset,Original,0.01715479488086498,3.0737328186595683,452,sub-CA103,CS_VIS_abs,Irrelevant,False,dtw
Offset,Original,0.03487326390324695,4.7996746914531645,147,sub-CA103,CS_VIS_abs,Irrelevant,False,dtw
