Presentation,Barycenter_Type,Mean,Max,Max_Time,Subject,Region,Relevance,Stimulus,Barycenter_Method
Onset,Original,4.667151336286372e-16,1.8313841497562802,464,sub-CA107,CS_PFC,Irrelevant,False,euclidean
Offset,Original,-1.8474111129762604e-16,2.093441403072211,482,sub-CA107,CS_PFC,Irrelevant,False,euclidean
Onset,Squared,0.4007087994286676,5.327305718334901,157,sub-CA107,CS_PFC,Irrelevant,False,euclidean
Offset,Squared,0.512828941126129,5.07194330617205,188,sub-CA107,CS_PFC,Irrelevant,False,euclidean
Onset,Original,2.0585154182860046e-16,2.7654897284531827,157,sub-CA107,CS_PFC_abs,Irrelevant,False,euclidean
Offset,Original,3.375077994860476e-17,2.8235095130403964,188,sub-CA107,CS_PFC_abs,Irrelevant,False,euclidean
Onset,Squared,0.5644272915746715,7.6479334381800586,157,sub-CA107,CS_PFC_abs,Irrelevant,False,euclidean
Offset,Squared,0.4951742470714121,7.972205970229616,188,sub-CA107,CS_PFC_abs,Irrelevant,False,euclidean
Onset,Original,-5.678663222857944e-17,1.3446941832289787,432,sub-CA107,CS_VIS,Irrelevant,False,euclidean
Offset,Original,8.526512829121202e-17,1.5462265729967626,618,sub-CA107,CS_VIS,Irrelevant,False,euclidean
Onset,Squared,0.19658623790894775,1.8082024464098503,432,sub-CA107,CS_VIS,Irrelevant,False,euclidean
Offset,Squared,0.26613766057629024,2.3908166150413126,618,sub-CA107,CS_VIS,Irrelevant,False,euclidean
Onset,Original,-3.407197933714766e-16,4.1310094392626,164,sub-CA107,CS_VIS_abs,Irrelevant,False,euclidean
Offset,Original,1.1990408665951691e-16,2.73109992822559,103,sub-CA107,CS_VIS_abs,Irrelevant,False,euclidean
Onset,Squared,0.7220951308256179,17.065238987276704,164,sub-CA107,CS_VIS_abs,Irrelevant,False,euclidean
Offset,Squared,0.5703831590747832,7.458906817953824,103,sub-CA107,CS_VIS_abs,Irrelevant,False,euclidean
Onset,Original,-0.009798966963548464,2.453138817713878,760,sub-CA107,CS_PFC,Irrelevant,False,dtw
Offset,Original,-0.007919600300498679,2.339371213247601,555,sub-CA107,CS_PFC,Irrelevant,False,dtw
Onset,Squared,0.4695130070227585,6.017890058974643,760,sub-CA107,CS_PFC,Irrelevant,False,dtw
Offset,Squared,0.5800558352333667,6.938424099176018,842,sub-CA107,CS_PFC,Irrelevant,False,dtw
Onset,Original,-0.0007011746083798378,3.509921626785398,760,sub-CA107,CS_PFC_abs,Irrelevant,False,dtw
Offset,Original,0.03838196867876057,3.0548804581003135,842,sub-CA107,CS_PFC_abs,Irrelevant,False,dtw
Onset,Squared,0.6693303439776105,12.319549826175855,760,sub-CA107,CS_PFC_abs,Irrelevant,False,dtw
Offset,Squared,0.6535415365319563,9.332294613283182,842,sub-CA107,CS_PFC_abs,Irrelevant,False,dtw
Onset,Original,0.014555768287524817,2.5210205030108743,151,sub-CA107,CS_VIS,Irrelevant,False,dtw
Offset,Original,-0.014276290844073095,2.5202773863706946,618,sub-CA107,CS_VIS,Irrelevant,False,dtw
Onset,Squared,0.28366957964358613,6.355544376601202,151,sub-CA107,CS_VIS,Irrelevant,False,dtw
Offset,Squared,0.35120161586920945,6.3517981042514995,618,sub-CA107,CS_VIS,Irrelevant,False,dtw
Onset,Original,0.008124273964069447,4.1310094392626,164,sub-CA107,CS_VIS_abs,Irrelevant,False,dtw
Offset,Original,0.03337859344212752,3.1174560665968216,740,sub-CA107,CS_VIS_abs,Irrelevant,False,dtw
Onset,Squared,0.792067564196415,17.065238987276704,164,sub-CA107,CS_VIS_abs,Irrelevant,False,dtw
Offset,Squared,0.6367767639289351,9.718532327161327,740,sub-CA107,CS_VIS_abs,Irrelevant,False,dtw
Onset,Original,-1.916548837714556e-16,2.4550387913362215,870,sub-CA107,CS_PFC,Relevant non-target,False,euclidean
Offset,Original,-1.8474111129762604e-16,2.0605219210872794,190,sub-CA107,CS_PFC,Relevant non-target,False,euclidean
Onset,Squared,0.545635644485031,6.0272154669656155,870,sub-CA107,CS_PFC,Relevant non-target,False,euclidean
Offset,Squared,0.43395756003169356,4.910810080818871,101,sub-CA107,CS_PFC,Relevant non-target,False,euclidean
Onset,Original,2.3069569342860397e-17,2.7777353439825467,166,sub-CA107,CS_PFC_abs,Relevant non-target,False,euclidean
Offset,Original,1.3322676295501878e-16,2.7656392895929476,101,sub-CA107,CS_PFC_abs,Relevant non-target,False,euclidean
Onset,Squared,0.48700169067307836,7.715813641209837,166,sub-CA107,CS_PFC_abs,Relevant non-target,False,euclidean
Offset,Squared,0.5005000096983971,7.6487606801401835,101,sub-CA107,CS_PFC_abs,Relevant non-target,False,euclidean
Onset,Original,-2.342448579428902e-16,1.426918277402211,162,sub-CA107,CS_VIS,Relevant non-target,False,euclidean
Offset,Original,-1.7763568394002505e-17,1.7814970957689478,992,sub-CA107,CS_VIS,Relevant non-target,False,euclidean
Onset,Squared,0.20935103397824809,2.0635320515675013,80,sub-CA107,CS_VIS,Relevant non-target,False,euclidean
Offset,Squared,0.25139643633028974,3.1737319022331953,992,sub-CA107,CS_VIS,Relevant non-target,False,euclidean
Onset,Original,-1.455157450857348e-16,3.538311605140069,152,sub-CA107,CS_VIS_abs,Relevant non-target,False,euclidean
Offset,Original,2.2026824808563106e-16,2.7922713943426833,21,sub-CA107,CS_VIS_abs,Relevant non-target,False,euclidean
Onset,Squared,0.7053471500817708,12.519649015068891,152,sub-CA107,CS_VIS_abs,Relevant non-target,False,euclidean
Offset,Squared,0.5145406615038717,7.796779539664433,21,sub-CA107,CS_VIS_abs,Relevant non-target,False,euclidean
Onset,Original,-0.00297971791320317,2.5364634236551513,870,sub-CA107,CS_PFC,Relevant non-target,False,dtw
Offset,Original,0.007626890354936254,2.6058661324173245,190,sub-CA107,CS_PFC,Relevant non-target,False,dtw
Onset,Squared,0.6341440856561634,9.220082822670078,166,sub-CA107,CS_PFC,Relevant non-target,False,dtw
Offset,Squared,0.503670249574894,7.1052298378239485,101,sub-CA107,CS_PFC,Relevant non-target,False,dtw
Onset,Original,0.024285747978942323,4.054418309215704,166,sub-CA107,CS_PFC_abs,Relevant non-target,False,dtw
Offset,Original,0.017600354924244017,2.959595410075311,453,sub-CA107,CS_PFC_abs,Relevant non-target,False,dtw
Onset,Squared,0.635159039935829,16.438307826103525,166,sub-CA107,CS_PFC_abs,Relevant non-target,False,dtw
Offset,Squared,0.6643831123797496,8.759204991338848,453,sub-CA107,CS_PFC_abs,Relevant non-target,False,dtw
Onset,Original,0.01662324359539514,3.2773348283581285,162,sub-CA107,CS_VIS,Relevant non-target,False,dtw
Offset,Original,-0.011243931872697854,2.4105780003857324,166,sub-CA107,CS_VIS,Relevant non-target,False,dtw
