Presentation,Barycenter_Type,Mean,Max,Max_Time,Subject,Region,Relevance,Stimulus,Barycenter_Method
Onset,Original,-1.8455655474288318e-16,1.487696818677052,274,sub-CA112,CS_PFC,Irrelevant,False,euclidean
Offset,Original,3.552713678800501e-17,1.9109044864751288,545,sub-CA112,CS_PFC,Irrelevant,False,euclidean
Onset,Squared,0.3103849471799609,2.328690530513883,95,sub-CA112,CS_PFC,Irrelevant,False,euclidean
Offset,Squared,0.5171263674683559,5.786523144281465,163,sub-CA112,CS_PFC,Irrelevant,False,euclidean
Onset,Original,-2.6263817405717987e-16,2.009239125082586,192,sub-CA112,CS_PFC_abs,Irrelevant,False,euclidean
Offset,Original,1.9895196601282806e-16,2.3256027275921145,545,sub-CA112,CS_PFC_abs,Irrelevant,False,euclidean
Onset,Squared,0.3998659180616846,4.037041861762636,192,sub-CA112,CS_PFC_abs,Irrelevant,False,euclidean
Offset,Squared,0.4258471160263197,5.408428046583882,545,sub-CA112,CS_PFC_abs,Irrelevant,False,euclidean
Onset,Original,1.5261407411430724e-16,0.6448795624287015,153,sub-CA112,CS_VIS,Irrelevant,False,euclidean
Offset,Original,2.913225216616411e-16,1.3470303678075886,726,sub-CA112,CS_VIS,Irrelevant,False,euclidean
Onset,Squared,0.0423084837734097,0.6048136396634598,476,sub-CA112,CS_VIS,Irrelevant,False,euclidean
Offset,Squared,0.14242398090878516,1.8144908117958474,726,sub-CA112,CS_VIS,Irrelevant,False,euclidean
Onset,Original,-7.666195350858224e-16,2.3019368512235654,188,sub-CA112,CS_VIS_abs,Irrelevant,False,euclidean
Offset,Original,1.7763568394002506e-16,2.6279678549660783,128,sub-CA112,CS_VIS_abs,Irrelevant,False,euclidean
Onset,Squared,0.7319813760650119,5.298913267021063,188,sub-CA112,CS_VIS_abs,Irrelevant,False,euclidean
Offset,Squared,0.63222123699285,6.906215046735011,128,sub-CA112,CS_VIS_abs,Irrelevant,False,euclidean
Onset,Original,0.004028266131882369,1.9741590966101155,173,sub-CA112,CS_PFC,Irrelevant,False,dtw
Offset,Original,-0.013385214457421036,2.587296913879281,546,sub-CA112,CS_PFC,Irrelevant,False,dtw
Onset,Squared,0.3495180031051426,3.897304138728467,173,sub-CA112,CS_PFC,Irrelevant,False,dtw
Offset,Squared,0.584559601537361,6.694105320569252,546,sub-CA112,CS_PFC,Irrelevant,False,dtw
Onset,Original,0.00399980837272133,2.2474497782878293,558,sub-CA112,CS_PFC_abs,Irrelevant,False,dtw
Offset,Original,0.025417639447116044,3.2908533614542805,545,sub-CA112,CS_PFC_abs,Irrelevant,False,dtw
Onset,Squared,0.42674840937243586,5.051030505926013,558,sub-CA112,CS_PFC_abs,Irrelevant,False,dtw
Offset,Squared,0.5661551885188957,10.829715846594938,545,sub-CA112,CS_PFC_abs,Irrelevant,False,dtw
Onset,Original,-0.003567405591387483,1.3866500181775765,153,sub-CA112,CS_VIS,Irrelevant,False,dtw
Offset,Original,0.0024060475276443684,2.481753648892481,224,sub-CA112,CS_VIS,Irrelevant,False,dtw
Onset,Squared,0.06214595911025259,1.9227982729118733,153,sub-CA112,CS_VIS,Irrelevant,False,dtw
Offset,Squared,0.20158292493527288,6.159101173791144,224,sub-CA112,CS_VIS,Irrelevant,False,dtw
Onset,Original,0.0008341969865378408,2.3909744363057133,195,sub-CA112,CS_VIS_abs,Irrelevant,False,dtw
Offset,Original,0.009837211183099236,3.3349278981691386,128,sub-CA112,CS_VIS_abs,Irrelevant,False,dtw
Onset,Squared,0.7429336472478644,5.716758755067423,195,sub-CA112,CS_VIS_abs,Irrelevant,False,dtw
Offset,Squared,0.6820638244058849,11.121744085986828,128,sub-CA112,CS_VIS_abs,Irrelevant,False,dtw
